"filename","country","sex","nutrient"
"bang_w_b12.csv","Bangladesh","Women","Vitamin B12"
"bang_w_calc.csv","Bangladesh","Women","Calcium"
"bang_w_carb.csv","Bangladesh","Women","Carbohydrates"
"bang_w_fat.csv","Bangladesh","Women","Fat"
"bang_w_fola.csv","Bangladesh","Women","Folate"
"bang_w_iron.csv","Bangladesh","Women","Iron"
"bang_w_omega_3.csv","Bangladesh","Women","Omega-3 fatty acids"
"bang_w_protein.csv","Bangladesh","Women","Protein"
"bang_w_ribo.csv","Bangladesh","Women","Riboflavin"
"bang_w_thia.csv","Bangladesh","Women","Thiamine"
"bang_w_vita.csv","Bangladesh","Women","Vitamin A"
"bang_w_vitb6.csv","Bangladesh","Women","Vitamin B6"
"bang_w_vitc.csv","Bangladesh","Women","Vitamin C"
"bang_w_zinc.csv","Bangladesh","Women","Zinc"
"bosnia_m_alcohol.csv","Bosnia","Men","Alcohol"
"bosnia_m_betacarot.csv","Bosnia","Men","beta-Carotene"
"bosnia_m_calc.csv","Bosnia","Men","Calcium"
"bosnia_m_carb.csv","Bosnia","Men","Carbohydrates"
"bosnia_m_cholest.csv","Bosnia","Men","Cholestral"
"bosnia_m_energy.csv","Bosnia","Men","Energy"
"bosnia_m_fat.csv","Bosnia","Men","Fat"
"bosnia_m_fiber.csv","Bosnia","Men","Fiber"
"bosnia_m_fola.csv","Bosnia","Men","Folate"
"bosnia_m_iodine.csv","Bosnia","Men","Iodine"
"bosnia_m_iron.csv","Bosnia","Men","Iron"
"bosnia_m_mg.csv","Bosnia","Men","Magnesium"
"bosnia_m_mufa.csv","Bosnia","Men","???????????"
"bosnia_m_na.csv","Bosnia","Men","???????????"
"bosnia_m_niac.csv","Bosnia","Men","Niacin"
"bosnia_m_omega_3.csv","Bosnia","Men","Omega-3 fatty acids"
"bosnia_m_omega_6.csv","Bosnia","Men","Omega-6 fatty acids"
"bosnia_m_phos.csv","Bosnia","Men","Phosphate"
"bosnia_m_pota.csv","Bosnia","Men","Potassium"
"bosnia_m_protein.csv","Bosnia","Men","Protein"
"bosnia_m_pufa.csv","Bosnia","Men","Polyunsaturated fatty acids"
"bosnia_m_ribo.csv","Bosnia","Men","Riboflavin"
