"country","iso3","nutrient_type","nutrient","nutrient_units","sex","mu","med","pdiff","pdiff_cap"
"Bosnia & Herzegovina","BIH","Other macronutrient","Alcohol","g","Males",117.578388891117,16.6341278042819,606.850339702517,500
"Bosnia & Herzegovina","BIH","Vitamin","Vitamin E","mg","Females",17.3206316451402,8.33272301179638,107.862803319154,107.862803319154
"Bosnia & Herzegovina","BIH","Vitamin","Vitamin E","mg","Males",21.6484381841066,10.2073958483155,112.08581018908,112.08581018908
"Bulgaria","BGR","Mineral","Iodine","mg","Females",8.93800447306386,0.12621630270634,6981.49762068325,500
"Bulgaria","BGR","Mineral","Iodine","mg","Males",1.40044779349717,0.156948522014076,792.297535220859,500
"Bulgaria","BGR","Mineral","Selenium","mg","Females",0.273087949193766,0.0528938232774053,416.294592208881,416.294592208881
"Bulgaria","BGR","Mineral","Selenium","mg","Males",0.364978524007926,0.0732913586195906,397.983024031932,397.983024031932
"Burkina Faso","BFA","Mineral","Iron","mg","Females",39.7820656479413,10.3063202209233,285.996794153341,285.996794153341
"Burkina Faso","BFA","Mineral","Iron","mg","Males",26.8453051651729,12.2914563225782,118.406220228442,118.406220228442
"Burkina Faso","BFA","Mineral","Zinc","mg","Females",18.3722160107738,8.57754606557952,114.189651332785,114.189651332785
"Burkina Faso","BFA","Other macronutrient","Carbohydrates","g","Females",574.609937883245,230.257006074997,149.551554446986,149.551554446986
"Burkina Faso","BFA","Other macronutrient","Protein","g","Females",147.207469713546,60.5117317957286,143.270958118467,143.270958118467
"Canada","CAN","Vitamin","Niacin","mg","Males",40.260079884081,20.1235456269209,100.064544442019,100.064544442019
"Congo-Kinshasa 1","COD-1","Vitamin","Vitamin A (RAE)","mcg","Females",4308.44968785782,642.170972050529,570.91940859619,500
"Congo-Kinshasa 2","COD-2","Fatty acid","Fat","g","Females",114.625720359476,57.1895983845443,100.43106368527,100.43106368527
"Congo-Kinshasa 2","COD-2","Vitamin","Riboflavin","mg","Females",2.75036369187151,1.23678065205764,122.380879527482,122.380879527482
"Congo-Kinshasa 2","COD-2","Vitamin","Vitamin A (RAE)","mcg","Females",5374.34060662848,642.170972050529,736.90182841301,500
"Denmark","DNK","Fatty acid","Omega-3 fatty acids","g","Females",2.4900574050577,0.131134644202815,1798.85550092051,500
"Denmark","DNK","Fatty acid","Omega-3 fatty acids","g","Males",3.16776239448828,0.185756554691543,1605.33007556503,500
"Denmark","DNK","Mineral","Copper","mg","Females",3.9373243901163,0.9652097672846,307.924217467575,307.924217467575
"Denmark","DNK","Mineral","Copper","mg","Males",3.582189104345,1.20716104813958,196.744921472218,196.744921472218
"Denmark","DNK","Vitamin","Retinol","mcg","Males",1160.79808834591,536.22298205267,116.476750754388,116.476750754388
"Denmark","DNK","Vitamin","Vitamin A (RAE)","mcg","Males",1463.58502654964,657.823117883943,122.489144385445,122.489144385445
"Ethiopia","ETH","Mineral","Iron","mg","Females",36.527086712476,10.3063202209233,254.414436282709,254.414436282709
"Kenya","KEN","Carotenoid","beta-Carotene","mcg","Females",20866.7821783101,2907.89802503318,617.589887907849,500
"Kenya","KEN","Carotenoid","beta-Carotene","mcg","Males",6314.01721149291,2644.28245988266,138.779983125294,138.779983125294
"Laos","LAO","Fatty acid","Omega-3 fatty acids","g","Females",0.388669045553097,0.131134644202815,196.389293550814,196.389293550814
"Laos","LAO","Fatty acid","Omega-3 fatty acids","g","Males",0.517445066935278,0.185756554691543,178.560865749539,178.560865749539
"Malaysia","MYS","Fatty acid","Omega-3 fatty acids","g","Females",6.49789858022049,0.131134644202815,4855.13494524813,500
"Malaysia","MYS","Fatty acid","Omega-3 fatty acids","g","Males",6.91229317326969,0.185756554691543,3621.15707289461,500
"Mozambique","MOZ","Vitamin","Vitamin C","mg","Females",199.561737344372,93.1927789091179,114.138627134389,114.138627134389
"Philippines","PHL","Fatty acid","Omega-3 fatty acids","g","Females",0.726874184282126,0.131134644202815,454.296073856676,454.296073856676
"Romania","ROU","Vitamin","Vitamin E","mg","Females",18.3017647696658,8.33272301179638,119.637263158232,119.637263158232
"Romania","ROU","Vitamin","Vitamin K","mg","Females",185.946032574507,69.379054932772,168.014651907103,168.014651907103
"Romania","ROU","Vitamin","Vitamin K","mg","Males",191.976509869029,70.6662235355544,171.666576002097,171.666576002097
"Sweden","SWE","Fatty acid","Omega-3 fatty acids","g","Females",0.364428880856696,0.131134644202815,177.904350198307,177.904350198307
"Uganda","UGA","Carotenoid","beta-Carotene","mcg","Females",17465.0850005413,2907.89802503318,500.608578780614,500
"Uganda","UGA","Carotenoid","beta-cryptoxanthin","mcg","Females",2343.70719006382,466.614401470692,402.27922298944,402.27922298944
"Uganda","UGA","Other macronutrient","Fiber","g","Females",50.0448149201771,17.8212534972178,180.81534740522,180.81534740522
"Uganda","UGA","Vitamin","Vitamin A (RAE)","mcg","Females",1300.30519405624,642.170972050529,102.485825527773,102.485825527773
"Zambia","ZMB","Carotenoid","beta-Carotene","mcg","Females",6858.97814609596,2907.89802503318,135.874094863341,135.874094863341
"Zambia","ZMB","Other macronutrient","Fiber","g","Females",40.8521231011507,17.8212534972178,129.232602002594,129.232602002594
