"","country_orig","iso3_orig","iso2_orig","country_use","iso3_use","year","indicator_id","indicator","sex","age","pop_size"
"1","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.0004.FE","Population ages 00-04, female","female","0-4",2747452
"2","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.0004.MA","Population ages 00-04, male","male","0-4",2891330
"3","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.0509.FE","Population ages 05-09, female","female","5-9",2636519
"4","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.0509.MA","Population ages 05-09, male","male","5-9",2765393
"5","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.1014.FE","Population ages 10-14, female","female","10-14",2501560
"6","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.1014.MA","Population ages 10-14, male","male","10-14",2614937
"7","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.1519.FE","Population ages 15-19, female","female","15-19",2197654
"8","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.1519.MA","Population ages 15-19, male","male","15-19",2321520
"9","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.2024.FE","Population ages 20-24, female","female","20-24",1843985
"10","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.2024.MA","Population ages 20-24, male","male","20-24",1950650
"11","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.2529.FE","Population ages 25-29, female","female","25-29",1433056
"12","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.2529.MA","Population ages 25-29, male","male","25-29",1551332
"13","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.3034.FE","Population ages 30-34, female","female","30-34",1138037
"14","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.3034.MA","Population ages 30-34, male","male","30-34",1255855
"15","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.3539.FE","Population ages 35-39, female","female","35-39",954327
"16","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.3539.MA","Population ages 35-39, male","male","35-39",1033269
"17","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.4044.FE","Population ages 40-44, female","female","40-44",758533
"18","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.4044.MA","Population ages 40-44, male","male","40-44",834402
"19","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.4549.FE","Population ages 45-49, female","female","45-49",603870
"20","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.4549.MA","Population ages 45-49, male","male","45-49",649695
"21","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.5054.FE","Population ages 50-54, female","female","50-54",485051
"22","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.5054.MA","Population ages 50-54, male","male","50-54",510215
"23","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.5559.FE","Population ages 55-59, female","female","55-59",382185
"24","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.5559.MA","Population ages 55-59, male","male","55-59",396317
"25","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.6064.FE","Population ages 60-64, female","female","60-64",296241
"26","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.6064.MA","Population ages 60-64, male","male","60-64",293294
"27","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.6569.FE","Population ages 65-69, female","female","65-69",223557
"28","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.6569.MA","Population ages 65-69, male","male","65-69",207687
"29","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.7074.FE","Population ages 70-74, female","female","70-74",165093
"30","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.7074.MA","Population ages 70-74, male","male","70-74",134696
"31","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.7579.FE","Population ages 75-79, female","female","75-79",85284
"32","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.7579.MA","Population ages 75-79, male","male","75-79",73674
"33","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.80UP.FE","Population ages 80 and above, female","female","80+",59626
"34","Afghanistan","AFG","AF","Afghanistan","AFG",2019,"SP.POP.80UP.MA","Population ages 80 and above, male","male","80+",45461
"35","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.0004.FE","Population ages 00-04, female","female","0-4",80269
"36","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.0004.MA","Population ages 00-04, male","male","0-4",87215
"37","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.0509.FE","Population ages 05-09, female","female","5-9",77365
"38","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.0509.MA","Population ages 05-09, male","male","5-9",85973
"39","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.1014.FE","Population ages 10-14, female","female","10-14",76752
"40","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.1014.MA","Population ages 10-14, male","male","10-14",89048
"41","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.1519.FE","Population ages 15-19, female","female","15-19",97195
"42","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.1519.MA","Population ages 15-19, male","male","15-19",108830
"43","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.2024.FE","Population ages 20-24, female","female","20-24",113282
"44","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.2024.MA","Population ages 20-24, male","male","20-24",120054
"45","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.2529.FE","Population ages 25-29, female","female","25-29",113941
"46","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.2529.MA","Population ages 25-29, male","male","25-29",130099
"47","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.3034.FE","Population ages 30-34, female","female","30-34",96480
"48","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.3034.MA","Population ages 30-34, male","male","30-34",117534
"49","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.3539.FE","Population ages 35-39, female","female","35-39",74048
"50","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.3539.MA","Population ages 35-39, male","male","35-39",85789
"51","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.4044.FE","Population ages 40-44, female","female","40-44",78696
"52","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.4044.MA","Population ages 40-44, male","male","40-44",75478
"53","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.4549.FE","Population ages 45-49, female","female","45-49",91570
"54","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.4549.MA","Population ages 45-49, male","male","45-49",81610
"55","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.5054.FE","Population ages 50-54, female","female","50-54",96724
"56","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.5054.MA","Population ages 50-54, male","male","50-54",90582
"57","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.5559.FE","Population ages 55-59, female","female","55-59",102555
"58","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.5559.MA","Population ages 55-59, male","male","55-59",98631
"59","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.6064.FE","Population ages 60-64, female","female","60-64",91383
"60","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.6064.MA","Population ages 60-64, male","male","60-64",87724
"61","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.6569.FE","Population ages 65-69, female","female","65-69",69719
"62","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.6569.MA","Population ages 65-69, male","male","65-69",66218
"63","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.7074.FE","Population ages 70-74, female","female","70-74",53669
"64","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.7074.MA","Population ages 70-74, male","male","70-74",50837
"65","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.7579.FE","Population ages 75-79, female","female","75-79",43447
"66","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.7579.MA","Population ages 75-79, male","male","75-79",40258
"67","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.80UP.FE","Population ages 80 and above, female","female","80+",43915
"68","Albania","ALB","AL","Albania","ALB",2019,"SP.POP.80UP.MA","Population ages 80 and above, male","male","80+",37300
"69","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.0004.FE","Population ages 00-04, female","female","0-4",2458967
"70","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.0004.MA","Population ages 00-04, male","male","0-4",2565649
"71","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.0509.FE","Population ages 05-09, female","female","5-9",2207029
"72","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.0509.MA","Population ages 05-09, male","male","5-9",2301378
"73","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.1014.FE","Population ages 10-14, female","female","10-14",1773441
"74","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.1014.MA","Population ages 10-14, male","male","10-14",1846406
"75","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.1519.FE","Population ages 15-19, female","female","15-19",1393956
"76","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.1519.MA","Population ages 15-19, male","male","15-19",1452395
"77","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.2024.FE","Population ages 20-24, female","female","20-24",1521920
"78","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.2024.MA","Population ages 20-24, male","male","20-24",1584049
"79","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.2529.FE","Population ages 25-29, female","female","25-29",1803515
"80","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.2529.MA","Population ages 25-29, male","male","25-29",1850277
"81","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.3034.FE","Population ages 30-34, female","female","30-34",1849554
"82","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.3034.MA","Population ages 30-34, male","male","30-34",1874679
"83","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.3539.FE","Population ages 35-39, female","female","35-39",1726308
"84","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.3539.MA","Population ages 35-39, male","male","35-39",1743283
"85","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.4044.FE","Population ages 40-44, female","female","40-44",1446425
"86","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.4044.MA","Population ages 40-44, male","male","40-44",1452339
"87","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.4549.FE","Population ages 45-49, female","female","45-49",1178902
"88","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.4549.MA","Population ages 45-49, male","male","45-49",1171357
"89","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.5054.FE","Population ages 50-54, female","female","50-54",1006210
"90","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.5054.MA","Population ages 50-54, male","male","50-54",998947
"91","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.5559.FE","Population ages 55-59, female","female","55-59",837632
"92","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.5559.MA","Population ages 55-59, male","male","55-59",840180
"93","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.6064.FE","Population ages 60-64, female","female","60-64",661484
"94","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.6064.MA","Population ages 60-64, male","male","60-64",685599
"95","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.6569.FE","Population ages 65-69, female","female","65-69",531060
"96","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.6569.MA","Population ages 65-69, male","male","65-69",552822
"97","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.7074.FE","Population ages 70-74, female","female","70-74",344324
"98","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.7074.MA","Population ages 70-74, male","male","70-74",335186
"99","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.7579.FE","Population ages 75-79, female","female","75-79",265994
"100","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.7579.MA","Population ages 75-79, male","male","75-79",234237
"101","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.80UP.FE","Population ages 80 and above, female","female","80+",296667
"102","Algeria","DZA","DZ","Algeria","DZA",2019,"SP.POP.80UP.MA","Population ages 80 and above, male","male","80+",260883
"103","American Samoa","ASM","AS","American Samoa","ASM",2019,"SP.POP.0004.FE","Population ages 00-04, female","female","0-4",NA
