"type1","type2","nutrient_label","units","n"
"Macronutrient","Fatty acid","alpha-linolenic acid","g",1
"Macronutrient","Fatty acid","Fat","g",19
"Macronutrient","Fatty acid","Linoleic acid","g",1
"Macronutrient","Fatty acid","Monounsaturated fatty acids","g",10
"Macronutrient","Fatty acid","Omega-3 fatty acids","g",17
"Macronutrient","Fatty acid","Omega-6 fatty acids","g",2
"Macronutrient","Fatty acid","Plant-based omega-3 fatty acids","g",1
"Macronutrient","Fatty acid","Polyunsaturated fatty acids","g",10
"Macronutrient","Fatty acid","Saturated fat","g",10
"Macronutrient","Fatty acid","Trans fat","g",3
"Macronutrient","Other macronutrient","Alcohol","g",2
"Macronutrient","Other macronutrient","Carbohydrates","g",19
"Macronutrient","Other macronutrient","Cholesterol","mg",2
"Macronutrient","Other macronutrient","Choline","mg",3
"Macronutrient","Other macronutrient","Energy","kcal",18
"Macronutrient","Other macronutrient","Fiber","g",16
"Macronutrient","Other macronutrient","Protein","g",19
"Macronutrient","Sugar","Added sugar","g",1
"Macronutrient","Sugar","Sucrose","g",1
"Macronutrient","Sugar","Sugar","g",4
"Micronutrient","Carotenoid","alpha-Carotene","mcg",3
"Micronutrient","Carotenoid","beta-Carotene","mcg",12
"Micronutrient","Carotenoid","beta-cryptoxanthin","mcg",3
"Micronutrient","Carotenoid","Lutein and zeaxanthin","mcg",1
"Micronutrient","Carotenoid","Lycopene","mcg",1
"Micronutrient","Mineral","Calcium","mg",20
"Micronutrient","Mineral","Copper","mg",6
"Micronutrient","Mineral","Iodine","mg",4
"Micronutrient","Mineral","Iron","mg",21
"Micronutrient","Mineral","Magnesium","mg",11
"Micronutrient","Mineral","Manganese","mg",1
"Micronutrient","Mineral","Phosphate","mg",12
"Micronutrient","Mineral","Potassium","mg",11
"Micronutrient","Mineral","Selenium","mg",7
"Micronutrient","Mineral","Sodium","mg",11
"Micronutrient","Mineral","Zinc","mg",20
"Micronutrient","Vitamin","Folate (Vitamin B9)","mcg",16
"Micronutrient","Vitamin","Niacin (Vitamin B3)","mg",17
"Micronutrient","Vitamin","Retinol (Vitamin A1)","mcg",4
"Micronutrient","Vitamin","Riboflavin (Vitamin B2)","mg",19
"Micronutrient","Vitamin","Thiamine (Vitamin B1)","mg",18
"Micronutrient","Vitamin","Vitamin A (RAE)","mcg",21
"Micronutrient","Vitamin","Vitamin B12","mcg",19
"Micronutrient","Vitamin","Vitamin B6","mg",15
"Micronutrient","Vitamin","Vitamin C","mg",18
"Micronutrient","Vitamin","Vitamin D","mcg",10
"Micronutrient","Vitamin","Vitamin E","mg",9
"Micronutrient","Vitamin","Vitamin K","mg",5
